85	미션 임파서블 3	2006-05-03	0	5,740,789	S 134
86	쥬라기 월드: 폴른 킹덤	2018-06-06	49,770,711,037	5,661,128	1,972
87	청년경찰	2017-08-09	44,381,150,516	5,653,270	1,102
88	가문의 위기(가문의 영광2)	2005-09-07	0	5,635,266	S 101
89	숨바꼭질	2013-08-14	39,602,987,500	5,604,104	779
90	덕혜옹주	2016-08-03	44,393,828,109	5,599,229	964
91	더 테러 라이브	2013-07-31	39,866,712,881	5,583,596	743
92	쥬라기 월드	2015-06-11	47,800,698,826	5,546,792	1,290
93	감시자들	2013-07-03	39,380,162,179	5,508,017	949
94	의형제	2010-02-04	40,800,867,602	5,507,106	572
95	2012	2009-11-12	39,415,166,660	5,462,953	789
96	앤트맨과 와스프	2018-07-04	47,465,443,185	5,447,826	1,775
97	닥터 스트레인지	2016-10-26	47,482,530,396	5,446,379	1,503
98	검은 사제들	2015-11-05	42,407,832,092	5,442,553	1,088
99	안시성	2018-09-19	46,335,334,026	5,440,186	1,540
